idx	measurement	value
35	container_start_time	0.9323297200025991
35	gdb_start_time	0.007518628000980243
35	init_breakpoints_time	0.0008999599958769977
35	start_program_time	0.0005637970025418326
35	total_time	1.1865344989928417
36	compilation_time	0.012281829011044465
36	connect_time	0.20333614401170053
36	container_create_time	0.02574394500697963
36	container_start_time	0.9309488760045497
36	gdb_start_time	0.007724254988715984
36	init_breakpoints_time	0.0008155789982993156
36	start_program_time	0.0005174770049052313
36	total_time	1.1849327980016824
37	compilation_time	0.00813025698880665
37	connect_time	0.20364162599435076
37	container_create_time	0.026046778992167674
37	container_start_time	1.0364787680009613
37	gdb_start_time	0.008118048004689626
37	init_breakpoints_time	0.0007202150009106845
37	start_program_time	0.0005476359947351739
37	total_time	1.2872811190027278
38	compilation_time	0.011980044990195893
38	connect_time	0.2034356329968432
38	container_create_time	0.027977953999652527
38	container_start_time	0.9292527490033535
38	gdb_start_time	0.008797460002824664
38	init_breakpoints_time	0.0007942469965200871
38	start_program_time	0.0005277879972709343
38	total_time	1.1866082589986036
39	compilation_time	0.008135968004353344
39	connect_time	0.20394223601033445
39	container_create_time	0.026779580002767034
39	container_start_time	0.9337147299956996
39	gdb_start_time	0.008470130997011438
39	init_breakpoints_time	0.0008436069911113009
39	start_program_time	0.0005520749982679263
39	total_time	1.1867122639960144
40	compilation_time	0.007329550993745215
40	connect_time	0.20327039300173055
40	container_create_time	0.02684001499437727
40	container_start_time	0.948456096011796
40	gdb_start_time	0.007218002996523865
40	init_breakpoints_time	0.0007689140038564801
40	start_program_time	0.0005206149944569916
40	total_time	1.1982474269898375
41	compilation_time	0.008040514992899261
41	connect_time	0.2035587579885032
41	container_create_time	0.02948854598798789
41	container_start_time	0.9315098939987365
41	gdb_start_time	0.007993439998244867
41	init_breakpoints_time	0.0008780779899097979
41	start_program_time	0.0006510739913210273
41	total_time	1.18604943700484
42	compilation_time	0.009123334006289952
42	connect_time	0.20360402599908412
42	container_create_time	0.028062566998414695
42	container_start_time	1.1315432770061307
42	gdb_start_time	0.008565091993659735
42	init_breakpoints_time	0.0007851959962863475
42	start_program_time	0.0006648450071224943
42	total_time	1.3865911699977005
43	compilation_time	0.012580064998473972
43	connect_time	0.2036896930076182
43	container_create_time	0.027255207998678088
43	container_start_time	0.930066289001843
43	gdb_start_time	0.007910350992460735
43	init_breakpoints_time	0.0007526919944211841
43	start_program_time	0.0005783960077678785
43	total_time	1.1869757569947978
44	compilation_time	0.013402027005213313
44	connect_time	0.20389027200872079
44	container_create_time	0.027551284001674503
44	container_start_time	1.027419183999882
44	gdb_start_time	0.008232314998167567
44	init_breakpoints_time	0.0007512349984608591
44	start_program_time	0.0005902379925828427
44	total_time	1.2857485100103077
45	compilation_time	0.011744518007617444
45	connect_time	0.2034122299955925
45	container_create_time	0.02651803899789229
45	container_start_time	0.9310551889939234
45	gdb_start_time	0.0081584860017756
45	init_breakpoints_time	0.0007540350052295253
45	start_program_time	0.0005368660058593377
45	total_time	1.1858517740038224
46	compilation_time	0.0117777620034758
46	connect_time	0.20348547300091013
46	container_create_time	0.025506190009764396
46	container_start_time	0.9325568240019493
46	gdb_start_time	0.008050543998251669
46	init_breakpoints_time	0.0007614530040882528
46	start_program_time	0.0005351519939722493
46	total_time	1.1864298889995553
47	compilation_time	0.008455047005554661
47	connect_time	0.20356434700079262
47	container_create_time	0.026003717008279637
47	container_start_time	0.9357867910002824
47	gdb_start_time	0.007279099998413585
47	init_breakpoints_time	0.0007218579994514585
47	start_program_time	0.0005227789952186868
47	total_time	1.1862354929908179
48	compilation_time	0.00824677900527604
48	connect_time	0.2035950269928435
48	container_create_time	0.026096985006006435
48	container_start_time	0.9347422040009405
48	gdb_start_time	0.007622810997418128
48	init_breakpoints_time	0.0005982919974485412
48	start_program_time	0.00047353999980259687
48	total_time	1.1844822870043572
49	compilation_time	0.011644026002613828
49	connect_time	0.20352337599615566
49	container_create_time	0.025542160001350567
49	container_start_time	0.932647256006021
49	gdb_start_time	0.00786266999784857
49	init_breakpoints_time	0.0007971419981913641
49	start_program_time	0.0005925619916524738
49	total_time	1.1863388249912532
50	compilation_time	0.008169140986865386
50	connect_time	0.20384594200004358
50	container_create_time	0.025930903007974848
50	container_start_time	1.0368046090006828
50	gdb_start_time	0.008064199995715171
50	init_breakpoints_time	0.0007676469977013767
50	start_program_time	0.0005911490006837994
50	total_time	1.287782863000757
51	compilation_time	0.00822428599349223
51	connect_time	0.2033882459945744
51	container_create_time	0.0260607559903292
51	container_start_time	0.9357442610053113
51	gdb_start_time	0.008132856004522182
51	init_breakpoints_time	0.0007448919932357967
51	start_program_time	0.0005495259974850342
51	total_time	1.1863201390078757
52	compilation_time	0.007903328005340882
52	connect_time	0.20336779300123453
52	container_create_time	0.025650076000601985
52	container_start_time	0.9413100350066088
52	gdb_start_time	0.0067759880039375275
52	init_breakpoints_time	0.0007574760093120858
52	start_program_time	0.0006787570018786937
52	total_time	1.1902935370017076
53	compilation_time	0.012314787003560923
53	connect_time	0.20335938700009137
53	container_create_time	0.02626954999868758
53	container_start_time	0.9319691549899289
53	gdb_start_time	0.007799839993822388
53	init_breakpoints_time	0.0007061229989631101
53	start_program_time	0.0005207549984334037
53	total_time	1.1867423660005443
54	compilation_time	0.011796517006587237
54	connect_time	0.20353224799328018
54	container_create_time	0.03002012199431192
54	container_start_time	0.9339221370028099
54	gdb_start_time	0.007805491011822596
54	init_breakpoints_time	0.0007434510043822229
54	start_program_time	0.0005453810008475557
54	total_time	1.1920331809960771
55	compilation_time	0.008009705998119898
55	connect_time	0.20326862399815582
55	container_create_time	0.025843484996585175
55	container_start_time	0.8430218229914317
55	gdb_start_time	0.007634579000296071
55	init_breakpoints_time	0.0007141340029193088
55	start_program_time	0.0005137920088600367
55	total_time	1.0930132459907327
56	compilation_time	0.00818126399826724
56	connect_time	0.20346136200532783
56	container_create_time	0.026972142004524358
56	container_start_time	0.9338076970016118
56	gdb_start_time	0.007756242994219065
56	init_breakpoints_time	0.0009049029904417694
56	start_program_time	0.0005914060020586476
56	total_time	1.1853600199974608
57	compilation_time	0.008353312005056068
57	connect_time	0.20356936000462156
57	container_create_time	0.026009358989540488
57	container_start_time	0.8360125869949115
57	gdb_start_time	0.007560186990303919
57	init_breakpoints_time	0.0006782260024920106
57	start_program_time	0.0004983010003343225
57	total_time	1.0861329969920916
58	compilation_time	0.011951007007155567
58	connect_time	0.2036927240114892
58	container_create_time	0.02743299800204113
58	container_start_time	1.0301117690105457
58	gdb_start_time	0.008614101010607556
58	init_breakpoints_time	0.0007533930038334802
58	start_program_time	0.0005427470023278147
58	total_time	1.2869957939983578
59	compilation_time	0.0120540100033395
59	connect_time	0.2039113520004321
59	container_create_time	0.026751912009785883
59	container_start_time	0.9310393650084734
59	gdb_start_time	0.008027996009332128
59	init_breakpoints_time	0.0007235859957290813
59	start_program_time	0.0005360539944376796
59	total_time	1.186596562009072
60	compilation_time	0.008098995996988378
60	connect_time	0.20357957799569704
60	container_create_time	0.026201649990980513
60	container_start_time	0.935834217001684
